epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3150.2,1.67302,3.11088,2.30537,1.56499,0,0.3113,0.24162,0.19114,0.08474,0.28124,0.21695,0.15581,0.05677,1.91454,3.13901,2.58126,1.74448,0,0.000775822,0.000775822,0.000775822
29,3262.07,1.64379,3.09034,2.27072,1.5489,0,0.28683,0.26066,0.19583,0.08684,0.25207,0.23597,0.15513,0.05617,1.90251,3.11994,2.59421,1.76674,0,0.000742815,0.000742815,0.000742815
30,3373.5,1.64579,3.05831,2.24718,1.54528,0,0.29208,0.23825,0.19237,0.08319,0.27508,0.21728,0.15479,0.05688,1.88423,3.10762,2.56687,1.76141,0,0.000709809,0.000709809,0.000709809
31,3484.4,1.62933,3.05632,2.24134,1.53791,0,0.32295,0.25237,0.21334,0.09413,0.28841,0.22555,0.16626,0.06361,1.86487,3.10259,2.53102,1.74758,0,0.000676802,0.000676802,0.000676802
32,3595.77,1.63696,3.04292,2.23494,1.53028,0,0.36978,0.24078,0.20798,0.09409,0.29691,0.22104,0.16462,0.06439,1.86886,3.10695,2.54513,1.73674,0,0.000643795,0.000643795,0.000643795
33,3705.02,1.61066,3.00856,2.20708,1.51619,0,0.31744,0.24233,0.20481,0.09263,0.29302,0.22296,0.16651,0.06159,1.87413,3.1148,2.51987,1.72605,0,0.000610789,0.000610789,0.000610789
34,3814.58,1.61308,3.00916,2.18632,1.51261,0,0.34832,0.23608,0.21008,0.09536,0.30433,0.22457,0.16702,0.06548,1.87752,3.07517,2.52833,1.74016,0,0.000577782,0.000577782,0.000577782
35,3925.07,1.59167,2.97763,2.15417,1.50277,0,0.34421,0.24283,0.21158,0.09616,0.30457,0.22401,0.17184,0.06296,1.87231,3.05549,2.51956,1.74679,0,0.000544776,0.000544776,0.000544776
36,4033.92,1.58254,2.94097,2.12443,1.4994,0,0.36336,0.24034,0.21471,0.09666,0.28307,0.23368,0.17403,0.06304,1.86627,3.05056,2.47559,1.73836,0,0.000511769,0.000511769,0.000511769
37,4144.95,1.57312,2.9473,2.12796,1.49737,0,0.37093,0.2487,0.21779,0.09896,0.35057,0.22863,0.18443,0.06924,1.87004,3.05945,2.47301,1.72564,0,0.000478762,0.000478762,0.000478762
38,4257.22,1.5772,2.91127,2.11308,1.49208,0,0.35631,0.25378,0.22392,0.10064,0.31041,0.23146,0.17896,0.06643,1.85979,3.046,2.45667,1.73335,0,0.000445756,0.000445756,0.000445756
39,4370.65,1.55909,2.90695,2.08263,1.47659,0,0.32987,0.26922,0.22157,0.10572,0.29858,0.25518,0.19241,0.07243,1.83866,3.0412,2.43977,1.71398,0,0.000412749,0.000412749,0.000412749
40,4483.92,1.55785,2.89799,2.08283,1.47404,0,0.34023,0.28569,0.22613,0.10333,0.33655,0.24412,0.18823,0.07093,1.87858,3.05322,2.43991,1.73791,0,0.000379743,0.000379743,0.000379743
41,4586.76,1.62028,2.8042,2.13432,1.56465,0,0.40537,0.26499,0.23509,0.10329,0.35366,0.23485,0.18553,0.06609,1.86054,3.06086,2.43785,1.7341,0,0.000346736,0.000346736,0.000346736
42,4685.91,1.59216,2.74609,2.05965,1.54598,0,0.34223,0.26967,0.22763,0.10595,0.31332,0.2491,0.1889,0.07053,1.83999,3.05458,2.41934,1.72711,0,0.000313729,0.000313729,0.000313729
43,4783.22,1.56421,2.70676,2.00578,1.52124,0,0.36322,0.27345,0.24022,0.11172,0.34241,0.25059,0.19988,0.07473,1.85419,3.06334,2.39465,1.71709,0,0.000280723,0.000280723,0.000280723
44,4878.23,1.56338,2.67926,1.97242,1.51565,0,0.36239,0.27681,0.23569,0.11051,0.34634,0.24863,0.19491,0.07498,1.83935,3.06801,2.4131,1.70467,0,0.000247716,0.000247716,0.000247716
45,4972.47,1.54766,2.6456,1.95427,1.51415,0,0.39895,0.2594,0.2409,0.111,0.36639,0.2285,0.1887,0.07256,1.8511,3.06468,2.40166,1.72997,0,0.00021471,0.00021471,0.00021471
46,5066.41,1.52545,2.63986,1.93022,1.49537,0,0.37467,0.29365,0.24671,0.1126,0.33316,0.26129,0.19967,0.07492,1.8528,3.0652,2.40255,1.7315,0,0.000181703,0.000181703,0.000181703
47,5161.32,1.51891,2.61527,1.89359,1.48611,0,0.36952,0.29016,0.24458,0.112,0.334,0.25378,0.19737,0.07358,1.85663,3.06871,2.40684,1.72376,0,0.000148696,0.000148696,0.000148696
48,5257.88,1.50953,2.60655,1.87737,1.48511,0,0.3627,0.28086,0.24603,0.11443,0.33004,0.25257,0.20207,0.07757,1.85025,3.084,2.39687,1.72334,0,0.00011569,0.00011569,0.00011569
49,5352.22,1.49802,2.58654,1.85598,1.47374,0,0.3361,0.29489,0.24096,0.11157,0.32515,0.25118,0.19938,0.07667,1.85469,3.07367,2.41419,1.73021,0,8.26832e-05,8.26832e-05,8.26832e-05
50,5446.49,1.48787,2.57256,1.84022,1.4651,0,0.34979,0.28592,0.24254,0.11344,0.33308,0.23946,0.19952,0.07797,1.85728,3.07455,2.40004,1.73476,0,4.96766e-05,4.96766e-05,4.96766e-05
